2024-11-11 13:15:27 DEBUG TestNG:82 - suiteXmlPath: "D:\eclipse-workspace\OpencartV121\master.xml"
2024-11-11 13:15:28 INFO  Utils:112 - [TestNG] Running:
  D:\eclipse-workspace\OpencartV121\master.xml

2024-11-11 13:15:34 INFO  TC001_AccountRegistrationTest:17 - ****Starting TC001_AccountRegistrationTest****
2024-11-11 13:15:34 INFO  TC001_AccountRegistrationTest:22 - Clicked on My Account Link
2024-11-11 13:15:35 INFO  TC001_AccountRegistrationTest:25 - Clicked on Register Link
2024-11-11 13:15:35 INFO  TC001_AccountRegistrationTest:30 - Providing Customer details...
2024-11-11 13:15:36 INFO  TC001_AccountRegistrationTest:41 - Validating Expected message
2024-11-11 13:15:37 INFO  TC001_AccountRegistrationTest:64 - ****Finised TC001_AccountRegistrationTest****
2024-11-11 13:15:41 INFO  TC002_LoginTest:16 - ****Starting TC002_LoginTest****
2024-11-11 13:15:41 INFO  TC002_LoginTest:20 - Clicked on My Account Link
2024-11-11 13:15:41 INFO  TC002_LoginTest:22 - Clicked on Login Link
2024-11-11 13:15:42 INFO  TC002_LoginTest:25 - Providing Login details...
2024-11-11 13:15:42 INFO  TC002_LoginTest:31 - Validating Account Page
